Dendrograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1
Anisograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,F1,1,1,L2,?L,,,,,,,,,,,,,,,
Acanthograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,
Ptilograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,L1,,,,,,,,,,
Tubidendridae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,F1,1,1,1,1,1,1,L1,,,,,,,,,,,,
Idiotubidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,F1,1,1,1,1,1,1,L1,,,,,,,,,,,,
Parvitubidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,
Bithecocamaridae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,
Cysticamaridae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,F1,L2,?L,,,,,,,,,,,,,,,,,
Wimanicrustidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,?F,FL,?L,,,,,,,,,,,,,,,,
Dichograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,?F,F2,1,1,L1,,,,,,,,,,,,,,,
Abrograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,,,,,
Sinograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,
Sigmagraptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,
Isograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,
Pseudotrigonograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,
Glossograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,,,,,
Dicranograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,,,,
Phyllograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,
Orthograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,F1,1,1,1,L1,,,,,,,,,,,,,,
Diplograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,,,,
Glyptograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,,,
Eoglyptograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,?F,F2,1,L1,,,,,,,,,,,,,,,
Retiolitidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,
Dimorphograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,
Monograptidae,Animalia,Hemichordata,Graptolithina,M,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,L1,,,,,,,,