Albumaresidae,Animalia,Problematica,,M,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribrachidium,Animalia,Problematica,,M,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Anabaritidae,Animalia,Problematica,,M,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinsoniidae,Animalia,Problematica,,M,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendomiidae,Animalia,Problematica,,M,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bomakellidae,Animalia,Problematica,,M,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprigginidae,Animalia,Problematica,,M,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkieriidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachitidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphogonuchitidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiwaxiidae,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancelloriidae,Animalia,Problematica,,M,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,
? Kennardiidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tannuolinidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommotiidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelanellidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapworthellidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnaginidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conoidocyathidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capillicyathidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cribricyathidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyxidocyathidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achorocyathidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akademiophyllidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloudinidae,Animalia,Problematica,,M,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinotubulites ,Animalia,Problematica,,M,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leibaellidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manacyathidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vologdinophyllidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridiidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercolepadidae,Animalia,Problematica,,M,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,L1,,,,,,,,,,,,
Lepidocoelidae,Animalia,Problematica,,M,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,
Plumulitidae,Animalia,Problematica,,M,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,
Turrilepadidae,Animalia,Problematica,,M,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,
Zhijinitidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyolithellidae,Animalia,Problematica,,M,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torellidae,Animalia,Problematica,,M,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1
Byronia,Animalia,Problematica,,M,,,,,,,,,,,F1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,
Saarinidae,Animalia,Problematica,,M,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabelliditidae,Animalia,Problematica,,M,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleolidae,Animalia,Problematica,,M,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,
Paiutitubulitidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salterellidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volborthellidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vologdinellidae,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anomalocaridae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurdia,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proboscaris,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halucigeniidae,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microdictyonidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luolishania,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancientidae,Animalia,Problematica,,M,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,
Amiskwiidae,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornulitidae,Animalia,Problematica,,M,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,
Cupithecidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinomischidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldoniidae,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konyriidae,Animalia,Problematica,,M,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,
Odontogriphidae,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opabiniidae,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paracarinachitidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parvancorinidae,Animalia,Problematica,,M,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platysolenitidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoibostrombidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianzhushanellidae,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhloesidae,Animalia,Problematica,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,
Utaphosphidae,Animalia,Problematica,,M,,,,,,,,,,F1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,
Rushtonites,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banffia,Animalia,Problematica,,M,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowiella,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrtochites,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deuteronectanebos,Animalia,Problematica,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,
Etacystis,Animalia,Problematica,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,
Fomitchella,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nectocaris,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oesia,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palaeobotryllus,Animalia,Problematica,,M,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollingeria,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portalia,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrgites,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redkinia,Animalia,Problematica,,M,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redoubtia,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhombocorniculum,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefania,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tubulella,Animalia,Problematica,,M,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tullimonstrum,Animalia,Problematica,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,
Tummulduria,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westgardia,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worthenella,Animalia,Problematica,,M,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnanodus,Animalia,Problematica,,M,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,